Wavelength (nm),Blue,Green,Yellow,Orange,Red,Ultraviolet,Infrared
673.0,161.59,165.36,168.18,170.09,1461.06,158.93,156.6
674.0,164.56,165.65,164.23,171.36,1321.84,148.91,151.19
675.0,169.6,168.59,162.82,164.48,1171.37,153.23,153.72
676.0,166.87,168.06,164.94,164.02,1046.63,153.31,153.24
677.0,170.54,164.72,163.99,164.8,938.86,149.89,155.56
678.0,163.07,167.71,161.3,167.6,833.9,156.18,151.17
679.0,166.75,163.51,164.37,165.51,728.37,153.24,153.28
680.0,165.2,163.28,164.46,163.5,658.37,155.05,148.31
681.0,160.89,167.68,162.31,164.98,578.83,153.0,152.12
682.0,158.16,164.82,164.07,166.12,510.48,153.88,154.15
683.0,168.01,167.99,165.99,163.01,455.04,155.02,154.99
684.0,164.04,168.19,169.75,168.9,420.99,186.83,162.6
685.0,166.41,164.61,165.81,167.09,388.81,179.3,154.75
686.0,165.02,164.05,163.77,164.57,342.28,155.4,150.21
687.0,167.25,168.77,168.56,168.17,320.57,187.67,160.21
688.0,163.33,164.59,162.04,161.84,291.82,153.41,150.71
689.0,166.3,162.69,166.08,161.64,269.99,149.26,150.61
690.0,163.95,170.13,161.84,164.93,251.12,148.18,148.83
691.0,166.3,173.6,167.63,165.52,246.02,190.72,159.23
692.0,160.99,164.29,163.86,160.6,230.81,171.89,157.58
693.0,167.54,167.04,167.68,163.48,226.0,187.57,157.07
694.0,168.54,161.14,160.68,163.14,214.02,156.19,148.77
695.0,169.81,166.0,163.86,166.82,208.05,154.73,149.01
696.0,166.02,167.03,166.33,164.06,201.92,151.14,150.11
697.0,165.48,165.84,165.81,161.4,193.08,148.73,145.93
698.0,162.21,166.79,168.72,164.0,195.99,173.4,157.04
699.0,167.32,162.06,159.96,161.64,181.46,155.72,150.75
700.0,178.94,160.83,160.79,165.77,180.45,161.78,152.85
701.0,160.78,165.21,164.31,165.07,179.23,152.99,151.08
702.0,168.6,168.69,162.88,161.77,177.15,162.85,150.79
703.0,167.97,165.74,161.36,165.34,172.72,159.49,152.23
704.0,163.91,164.97,159.96,162.04,172.82,150.04,149.95
705.0,164.07,162.1,162.93,164.79,179.96,183.93,160.04
706.0,165.87,169.2,164.95,165.9,170.91,148.94,150.08
707.0,166.06,160.88,163.94,163.09,163.97,155.7,149.02
708.0,170.0,166.01,162.0,162.99,170.0,157.99,152.98
709.0,164.04,164.99,164.01,156.05,160.86,164.89,145.68
710.0,169.23,168.29,161.78,163.12,168.91,185.71,161.87
711.0,166.05,167.9,166.93,166.43,164.84,155.66,149.85
712.0,161.96,163.61,162.68,162.74,167.83,155.04,150.89
713.0,164.33,162.04,159.88,163.22,161.84,148.46,147.43
714.0,173.56,165.45,166.6,163.43,164.87,147.77,152.84
715.0,162.54,166.63,162.12,159.61,169.48,149.2,148.63
716.0,168.16,164.28,161.81,164.43,168.23,150.34,151.74
717.0,164.18,165.57,164.17,159.52,165.11,147.14,149.7
718.0,154.9,161.52,161.45,163.09,170.0,154.27,147.4
719.0,162.09,164.01,163.97,169.93,164.3,158.8,154.04
720.0,164.07,168.06,165.43,162.02,162.24,157.45,151.14
721.0,167.84,164.83,164.15,163.44,170.83,153.43,151.55
722.0,166.05,164.95,164.62,163.39,163.48,152.2,150.19
723.0,167.69,158.31,161.07,163.46,163.22,147.03,150.34
724.0,168.76,163.97,159.14,162.65,161.5,152.61,155.71
725.0,166.9,163.39,162.25,160.97,169.09,156.13,155.31
726.0,163.31,165.14,162.32,163.72,163.77,151.17,153.85
727.0,167.63,163.8,165.2,161.65,156.34,153.76,149.91
728.0,164.29,169.22,160.97,164.26,163.15,157.8,151.69
729.0,168.59,165.62,164.17,161.29,160.77,148.71,149.97
730.0,165.67,166.86,164.78,162.33,165.62,150.86,148.7
731.0,169.35,162.82,167.89,166.09,162.42,153.79,153.24
732.0,168.3,164.41,166.28,165.07,163.07,150.57,149.18
733.0,166.9,163.3,163.62,163.22,166.15,150.54,149.32
734.0,166.21,161.92,162.51,162.03,164.82,154.05,151.75
735.0,164.7,164.03,160.68,161.63,160.02,147.03,147.73
736.0,166.84,162.26,161.8,160.3,147.79,147.68,148.43
737.0,167.14,159.94,163.28,159.51,160.61,133.13,145.59
738.0,166.1,165.89,160.31,164.98,160.9,141.61,150.62
739.0,167.51,164.3,163.85,162.28,161.45,159.95,151.27
740.0,169.18,166.09,163.96,162.81,160.21,153.35,149.37
741.0,165.58,164.99,161.25,162.47,161.03,154.51,149.82
742.0,162.77,161.8,159.88,165.22,161.13,146.84,149.53
743.0,165.41,170.46,167.08,164.76,163.27,152.53,149.49
744.0,168.96,164.73,163.42,160.01,161.19,153.26,149.79
745.0,166.09,163.29,165.67,165.12,160.07,151.0,151.21
746.0,167.82,166.18,162.59,164.98,161.25,155.74,155.95
747.0,166.17,162.43,160.52,164.09,161.13,154.05,152.74
748.0,168.72,164.89,164.11,162.13,164.98,149.54,152.01
749.0,163.17,164.86,165.82,164.01,164.35,151.73,154.55
750.0,167.25,170.95,159.03,160.15,161.89,155.51,147.05
751.0,164.06,165.85,159.95,162.05,157.85,156.77,154.01
752.0,164.01,167.0,166.03,163.05,160.99,151.02,150.0
753.0,164.03,165.94,167.94,163.96,163.99,155.91,152.0
754.0,165.9,162.0,162.19,165.58,143.92,157.35,154.21
755.0,166.86,164.04,159.81,166.04,160.16,145.26,147.2
756.0,166.68,167.14,163.98,159.37,163.09,161.95,148.59
757.0,168.26,164.79,165.3,166.15,163.3,171.57,153.53
758.0,164.62,166.95,169.67,165.29,173.58,243.36,166.98
759.0,163.53,165.76,160.06,162.94,166.32,152.7,152.98
760.0,168.54,164.26,161.8,164.46,163.01,152.75,150.82
761.0,167.69,164.81,163.09,164.51,160.54,153.34,150.93
762.0,165.22,166.2,164.64,160.72,161.76,152.46,151.74
763.0,163.55,165.15,164.78,159.83,157.55,150.73,148.44
764.0,165.09,164.28,158.67,160.31,161.23,153.4,152.7
765.0,166.82,163.35,162.88,162.27,163.56,150.97,155.65
766.0,167.02,165.49,162.77,166.84,164.18,149.64,152.9
767.0,176.76,162.93,165.72,165.71,161.62,152.18,153.48
768.0,165.35,160.25,165.1,162.41,161.94,150.98,151.41
769.0,161.85,161.1,160.73,159.03,162.11,146.3,153.22
770.0,162.3,165.89,160.39,155.8,159.94,152.14,148.57
771.0,166.41,163.53,158.65,162.3,158.28,150.72,150.45
772.0,167.81,163.17,164.36,162.36,163.3,149.91,148.01
773.0,170.43,161.69,162.55,163.18,164.47,157.44,155.96
774.0,168.16,166.05,164.82,164.84,161.96,149.57,151.94
775.0,162.05,161.86,161.93,169.87,163.01,151.7,147.27
776.0,165.0,163.0,163.0,161.0,160.99,147.98,150.99
777.0,166.05,166.11,167.91,162.05,160.2,156.52,148.06
778.0,163.68,168.75,165.67,163.57,166.02,157.89,155.89
779.0,165.15,165.76,168.81,161.74,164.44,157.69,148.86
780.0,163.4,166.0,164.82,164.8,162.69,153.27,154.91
781.0,169.62,165.99,164.08,161.41,163.47,158.28,152.79
782.0,163.79,160.16,164.38,163.43,159.65,152.92,150.4
783.0,165.65,159.75,163.56,160.07,163.2,153.4,157.32
784.0,165.12,166.61,162.8,160.8,161.48,152.37,154.44
785.0,162.09,165.87,161.48,164.08,163.72,151.7,149.87
786.0,167.2,165.76,163.65,163.96,161.8,151.72,152.88
787.0,168.1,167.89,163.92,159.87,160.98,150.79,152.92
788.0,166.45,163.21,162.69,163.66,164.52,154.74,154.93
789.0,166.7,164.1,162.79,159.46,163.99,152.93,153.94
790.0,161.73,164.91,160.01,159.9,163.35,156.89,148.19
791.0,165.02,166.03,163.98,161.97,164.96,150.87,151.14
792.0,169.04,165.82,164.07,163.91,161.67,161.13,155.93
793.0,166.78,165.44,157.99,165.09,160.97,152.89,147.47
794.0,167.01,171.5,159.92,161.92,161.95,153.77,152.34
795.0,167.29,167.28,166.67,158.45,163.14,160.29,154.17
796.0,167.02,162.94,161.18,159.53,159.45,146.02,150.23
797.0,167.01,164.7,161.41,161.45,163.99,150.68,151.91
798.0,163.21,164.08,164.87,160.78,159.98,152.48,147.97
799.0,163.44,160.95,164.34,163.8,165.88,149.64,150.15
800.0,162.08,168.43,165.27,162.21,164.28,153.55,152.57
801.0,158.41,168.68,170.67,164.18,166.31,164.07,152.36
802.0,167.64,164.09,163.67,162.82,170.93,168.96,153.01
803.0,161.12,158.07,164.97,166.02,162.08,159.01,151.1
804.0,162.96,163.46,162.98,160.86,159.99,161.05,154.42
805.0,162.19,164.25,164.49,161.35,163.51,154.88,150.85
806.0,167.58,167.77,162.42,162.15,162.22,152.47,154.35
807.0,163.0,163.17,159.18,158.46,160.13,151.71,155.98
808.0,166.01,167.89,160.67,163.28,159.52,151.49,152.27
809.0,165.62,167.92,163.69,162.07,164.78,162.99,155.3
810.0,167.8,166.34,161.18,163.55,165.19,155.75,152.14
811.0,164.06,165.3,166.73,164.96,166.55,173.98,156.49
812.0,162.36,166.23,165.7,163.35,165.86,164.11,157.66
813.0,165.76,165.93,161.84,160.08,168.14,171.23,154.16
814.0,167.02,166.91,161.53,161.9,157.47,148.68,150.57
815.0,165.81,164.52,162.23,159.58,163.08,155.48,153.88
816.0,164.53,162.11,164.94,158.45,162.38,152.89,152.44
817.0,161.97,161.58,167.39,161.92,163.9,146.85,146.75
818.0,165.86,166.06,166.42,161.58,163.99,154.26,154.28
819.0,165.36,160.25,165.62,161.17,167.03,171.35,156.45
820.0,162.99,161.63,164.74,166.62,165.91,195.71,167.35
821.0,166.18,167.9,166.15,164.93,160.04,153.78,153.96
822.0,164.14,163.42,166.29,162.12,159.13,155.27,153.99
823.0,161.95,167.56,164.93,163.28,161.53,153.32,154.2
824.0,162.92,162.92,162.11,158.77,162.32,152.94,149.61
825.0,160.38,161.93,165.82,163.0,164.04,166.36,160.84
826.0,165.02,165.89,164.5,158.85,163.62,151.93,153.32
827.0,168.59,163.94,160.44,162.05,164.32,159.3,156.65
828.0,168.67,166.18,159.7,163.55,168.17,176.54,163.21
829.0,161.99,164.15,162.1,162.98,164.13,147.08,160.08
830.0,166.78,165.18,163.66,164.53,167.29,157.34,162.18
831.0,162.99,166.43,163.63,161.94,164.24,154.0,159.81
832.0,170.49,164.05,166.87,159.98,165.99,153.17,154.29
833.0,161.37,163.78,162.03,162.45,162.85,149.98,159.89
834.0,166.48,163.73,164.41,159.14,164.0,153.29,156.0
835.0,162.41,167.84,166.38,162.9,165.26,187.12,169.53
836.0,165.13,163.0,165.16,164.45,168.02,151.01,162.49
837.0,162.73,163.01,160.9,157.63,161.99,163.82,163.89
838.0,166.07,162.03,166.84,164.18,168.36,196.73,173.78
839.0,162.69,160.17,162.35,163.45,164.14,155.84,168.79
840.0,167.82,163.29,166.07,164.69,164.43,151.27,172.68
841.0,163.65,166.67,161.3,160.99,164.54,154.43,167.86
842.0,164.94,162.83,164.29,164.99,166.6,158.03,179.86
843.0,163.98,165.97,160.06,163.87,169.02,153.43,173.27
844.0,169.63,162.33,161.64,160.67,167.54,156.17,175.63
845.0,166.28,164.7,163.43,156.79,162.73,153.1,180.54
846.0,167.47,165.65,168.82,161.07,161.37,158.44,183.01
847.0,165.32,161.99,166.23,164.6,166.2,163.42,184.46
848.0,165.9,168.01,161.81,162.09,162.65,150.86,180.19
849.0,166.02,160.23,162.02,162.1,165.58,154.76,190.73
850.0,165.02,164.38,168.4,162.08,161.04,151.06,188.95
851.0,169.96,163.54,162.46,161.37,167.34,154.12,193.05
852.0,162.77,165.98,164.81,160.29,166.18,150.45,196.49
853.0,166.92,169.1,162.67,161.81,167.07,152.58,198.46
854.0,164.81,162.46,161.07,162.08,163.83,151.79,206.85
855.0,165.8,163.11,164.61,168.57,166.79,177.44,212.8
856.0,165.75,164.79,161.19,165.21,166.91,156.92,217.13
857.0,166.71,163.31,169.49,159.27,170.56,170.79,216.66
858.0,169.94,162.15,162.52,162.88,167.3,151.88,220.13
859.0,163.35,165.65,168.39,162.79,168.7,156.5,221.16
860.0,166.73,161.41,161.96,158.4,166.33,152.91,220.07
861.0,172.06,162.9,160.98,159.0,171.91,155.09,227.88
862.0,166.38,165.05,164.54,161.67,166.9,157.44,231.5
863.0,165.79,165.68,163.94,158.18,172.81,164.45,234.97
864.0,165.05,163.55,164.39,161.46,167.2,162.82,240.93
865.0,166.22,164.26,168.67,160.19,166.05,153.07,243.38
866.0,167.46,167.73,161.93,162.6,168.84,160.41,251.72
867.0,164.48,168.68,165.21,158.04,160.12,150.72,248.67
868.0,166.09,164.9,162.74,159.16,164.38,159.1,257.37
869.0,163.83,159.14,165.95,162.81,169.59,162.26,262.15
870.0,164.25,161.97,164.68,161.82,169.07,155.44,267.5
871.0,165.41,162.71,161.55,161.91,170.35,148.69,278.84
872.0,163.82,161.89,159.95,155.96,166.19,153.79,283.28
873.0,162.52,164.51,166.94,160.1,173.67,153.52,287.71
874.0,165.84,163.51,162.48,164.45,179.54,148.93,300.81
875.0,167.45,166.18,161.26,160.29,174.24,152.78,298.94
876.0,162.09,162.96,162.88,164.77,174.43,159.58,310.74
877.0,163.92,160.14,162.77,160.3,174.21,157.05,329.81
878.0,166.22,164.35,159.03,162.34,174.72,148.43,334.43
879.0,163.01,164.6,164.06,161.97,171.63,154.7,347.71
880.0,167.4,166.46,165.21,160.15,172.34,155.05,365.5
881.0,169.08,166.16,161.35,163.58,169.81,151.1,366.76
882.0,163.12,163.24,160.47,161.78,174.99,156.21,386.96
883.0,163.07,163.85,164.71,162.66,173.76,160.19,401.63
884.0,166.62,164.43,165.32,164.78,163.33,156.72,413.71
885.0,167.76,162.44,165.53,165.85,174.59,159.85,435.95
886.0,165.98,161.99,157.98,160.99,179.98,151.92,459.11
887.0,168.17,159.62,164.73,166.32,175.44,154.64,480.25
888.0,167.37,166.39,158.12,161.22,173.2,153.26,507.82
889.0,165.78,163.81,164.17,162.66,172.57,150.8,521.99
890.0,164.94,159.68,161.92,161.68,175.84,148.62,547.15
891.0,166.13,165.39,164.11,162.26,175.26,159.75,559.2
892.0,162.72,164.11,159.9,161.16,169.82,153.25,597.86
893.0,163.11,163.35,164.65,165.8,177.79,154.1,637.46
894.0,163.63,162.01,174.96,163.87,173.86,151.58,666.49
895.0,162.95,167.38,162.9,161.29,177.12,150.06,700.45
896.0,166.4,163.32,165.15,166.3,174.13,145.8,734.98
897.0,168.01,168.94,165.06,162.99,174.54,151.75,795.02
898.0,165.8,165.63,162.83,164.7,176.12,158.04,821.55
899.0,165.17,163.0,163.16,159.97,169.76,151.73,877.93
900.0,166.91,163.14,162.98,163.92,176.81,170.46,929.46
901.0,164.2,167.04,162.21,165.03,175.31,155.52,985.62
902.0,165.64,161.6,166.22,160.44,169.9,162.3,1049.1
903.0,163.99,166.87,161.97,166.83,172.08,151.14,1112.14
904.0,166.33,163.81,162.82,162.36,169.95,151.72,1166.73
905.0,164.72,166.11,165.08,163.25,172.08,158.59,1242.79
906.0,165.76,165.82,159.85,165.92,170.08,150.14,1303.34
907.0,164.75,163.75,163.91,159.67,171.17,151.12,1384.79
908.0,165.85,165.85,164.33,163.63,169.89,156.07,1470.23
909.0,166.08,167.4,167.7,160.94,168.91,152.3,1570.48
910.0,163.44,167.39,166.18,162.02,167.34,150.51,1649.47
911.0,167.68,166.19,156.47,159.87,167.78,157.01,1754.41
912.0,172.23,165.01,162.04,162.7,168.89,156.85,1845.4
913.0,165.93,162.57,164.89,162.18,166.52,154.11,1930.29
914.0,164.92,166.27,165.49,168.15,165.21,157.18,2042.74
915.0,167.94,164.9,169.4,163.3,167.78,153.72,2120.73
916.0,167.21,164.46,161.51,165.37,167.2,166.52,2260.82
917.0,169.57,166.23,165.67,161.34,159.25,154.55,2336.56
918.0,165.97,164.91,165.05,160.04,169.07,148.93,2409.43
919.0,162.22,168.58,165.96,164.17,166.43,156.43,2541.78
920.0,164.26,161.97,161.92,159.73,164.61,152.81,2648.66
921.0,167.12,161.48,162.43,163.5,162.91,158.08,2793.2
922.0,162.26,169.01,161.86,161.52,165.81,157.1,2856.65
923.0,166.14,163.23,163.61,162.58,162.72,148.91,2946.69
924.0,167.76,164.28,163.72,157.13,161.7,164.29,3091.56
925.0,167.0,165.94,168.93,163.89,166.86,152.27,3172.1
926.0,161.78,161.71,163.46,159.77,163.47,155.78,3226.79
927.0,165.01,169.18,165.48,161.92,165.54,162.01,3358.32
928.0,169.15,168.64,161.75,162.15,165.55,176.42,3411.17
929.0,168.67,164.14,166.9,159.89,167.14,174.56,3476.11
930.0,165.59,160.74,164.46,163.38,161.71,155.11,3552.71
931.0,162.2,161.66,170.51,164.79,159.51,155.95,3617.02
932.0,164.83,167.18,166.31,157.88,165.27,152.91,3655.65
933.0,165.47,163.44,158.37,161.8,163.57,154.96,3688.75
934.0,162.95,165.61,163.98,157.77,161.79,156.82,3743.86
935.0,162.96,166.0,154.1,163.97,160.05,160.84,3778.11
936.0,165.45,165.98,167.32,161.01,159.42,148.35,3799.5
937.0,166.12,165.41,160.74,161.12,163.67,153.71,3816.49
938.0,165.05,162.93,167.92,166.02,162.11,152.03,3821.6
939.0,168.61,163.86,162.16,161.87,162.89,152.66,3801.63
940.0,170.23,167.77,165.57,166.96,159.9,164.65,3762.08
941.0,165.0,163.99,161.81,160.21,161.83,155.13,3747.96
942.0,164.49,167.05,162.51,161.47,162.22,154.3,3706.44
943.0,164.34,167.58,159.39,161.14,162.07,153.57,3664.67
944.0,162.75,165.23,165.05,162.83,162.37,157.66,3616.46
945.0,165.19,160.45,162.18,162.73,164.2,149.45,3578.5
946.0,163.79,163.3,161.89,163.44,161.8,149.28,3557.46
947.0,165.97,157.3,165.57,161.03,167.07,155.21,3456.93
948.0,163.18,165.91,167.34,164.3,165.52,167.43,3354.61
949.0,167.47,161.39,158.22,155.91,164.81,150.14,3299.52
950.0,164.96,162.17,162.98,161.65,156.58,148.49,3204.29
951.0,165.95,163.97,160.94,161.61,160.16,150.97,3129.29
952.0,164.57,166.22,159.67,159.74,161.23,146.76,3019.9
953.0,164.72,162.77,163.17,165.05,161.43,153.49,2903.49
954.0,165.6,163.69,161.94,162.31,160.49,164.75,2827.61
955.0,165.07,164.56,159.91,158.37,159.93,157.82,2734.58
956.0,167.03,166.04,165.0,159.99,162.03,153.01,2639.4
957.0,163.79,158.38,162.63,164.44,162.57,153.82,2526.96
958.0,165.11,166.54,164.97,163.24,156.32,149.5,2411.11
959.0,165.85,165.05,162.88,163.64,164.99,157.82,2318.28
960.0,163.99,164.77,169.02,161.92,160.69,172.07,2209.37
961.0,163.36,163.81,165.4,158.44,159.76,146.51,2123.86
962.0,163.09,164.99,157.58,164.3,160.74,145.98,2026.78
963.0,167.99,166.54,162.56,162.9,163.47,158.07,1933.29
964.0,164.31,164.33,160.92,156.88,164.08,155.0,1814.29
965.0,166.69,164.47,164.7,162.91,161.49,156.6,1717.39
966.0,168.0,165.97,162.24,165.17,160.64,154.33,1650.27
967.0,166.0,166.02,166.0,167.0,158.0,157.03,1553.23
968.0,165.5,165.06,161.07,160.21,163.47,149.07,1462.51
969.0,166.15,163.52,161.08,162.67,163.6,157.85,1384.26
970.0,169.59,160.62,161.17,163.21,162.25,153.7,1308.12
971.0,166.41,162.18,162.6,164.28,163.43,152.84,1239.97
972.0,164.09,162.79,165.05,161.83,165.54,150.77,1169.15
973.0,165.77,162.99,163.31,162.02,162.9,159.68,1104.24
974.0,165.15,167.56,163.65,163.37,160.84,162.45,1035.04
975.0,167.64,163.77,164.76,162.96,162.16,162.0,994.31
976.0,168.3,166.8,163.76,159.64,164.34,153.78,937.91
977.0,167.79,166.19,164.2,163.43,162.83,154.05,877.12
978.0,168.38,167.52,163.22,159.96,162.26,152.72,827.9
979.0,165.14,164.36,162.23,158.58,165.08,164.64,791.36
980.0,167.06,162.93,161.87,164.16,159.94,155.0,745.08
981.0,169.44,162.31,165.5,162.61,161.64,149.4,694.86
982.0,166.38,163.43,164.76,158.29,157.3,159.65,656.77
983.0,164.43,169.61,159.47,162.35,159.14,147.52,633.3
984.0,168.25,167.85,163.51,164.98,160.52,156.21,612.21
985.0,168.58,165.79,166.78,161.28,162.02,161.82,567.58
986.0,164.14,165.94,164.01,159.18,164.14,150.49,526.74
987.0,168.16,162.07,161.95,159.2,165.7,153.91,510.26
988.0,166.68,165.2,164.94,162.89,158.66,159.22,482.29
989.0,163.57,160.53,165.65,157.06,160.42,149.96,457.15
990.0,165.69,165.68,161.0,158.73,158.75,156.16,428.81
991.0,166.85,165.48,162.46,164.6,163.23,161.0,412.69
992.0,167.96,160.8,163.09,161.76,165.81,176.88,402.88
993.0,166.59,165.62,165.86,161.27,162.22,148.84,371.82
994.0,164.36,167.14,162.71,162.04,161.24,154.02,349.07
995.0,167.06,164.2,161.93,163.39,161.25,151.94,334.38
996.0,168.03,161.94,161.91,162.71,162.39,150.23,327.85
997.0,169.85,165.51,161.41,163.16,163.71,152.87,320.36
998.0,163.56,164.39,163.25,161.05,167.39,155.57,304.49
999.0,163.9,159.35,164.72,160.61,161.0,153.37,290.28
1000.0,164.63,165.69,163.35,160.82,166.38,148.21,279.68
